nome,Depressao_Ponto_Orvalho,DSC_Soares,Probabilidade_Fogo,Classe_Risco,Cor_Risco,Data_Atualizacao,Umidade_13h,DSC,Depressao_Psicrometrica
Areial,10.0,11.52,0.5,2. Baixo,#C0C276,12/09/2026,,,
Massaranduba,9.8,2.99,0.5,2. Baixo,#C0C276,12/09/2026,,,
Pitimbu,6.9,3.23,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Lagoa Seca,7.8,3.52,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Remígio,10.1,11.93,0.5,2. Baixo,#C0C276,12/09/2026,,,
Passagem,21.0,45.0,5.0,5. Muito Alto,#DE1010,12/09/2026,,,
Arara,7.2,2.55,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
São José dos Ramos,11.3,9.73,0.7,2. Baixo,#C0C276,12/09/2026,,,
São Domingos do Cariri,18.2,15.75,2.8,3. Moderado,#E8A523,12/09/2026,,,
Zabelê,21.6,26.88,5.5,5. Muito Alto,#DE1010,12/09/2026,,,
Natuba,11.1,14.99,0.7,2. Baixo,#C0C276,12/09/2026,,,
Cabedelo,7.0,3.33,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Caturité,18.1,10.8,2.7,3. Moderado,#E8A523,12/09/2026,,,
Boqueirão,17.7,12.47,2.5,3. Moderado,#E8A523,12/09/2026,,,
Caldas Brandão,12.2,8.73,0.8,2. Baixo,#C0C276,12/09/2026,,,
Ingá,12.6,10.14,0.9,2. Baixo,#C0C276,12/09/2026,,,
Sapé,10.1,12.5,0.5,2. Baixo,#C0C276,12/09/2026,,,
Areia de Baraúnas,22.1,45.0,6.2,5. Muito Alto,#DE1010,11/09/2026,,,
Alagoa Nova,7.4,1.73,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Areia,7.2,2.55,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Bayeux,8.1,2.63,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Cabaceiras,18.2,23.11,2.8,3. Moderado,#E8A523,12/09/2026,,,
Cacimba de Dentro,12.5,8.68,0.9,2. Baixo,#C0C276,12/09/2026,,,
Capim,9.7,7.62,0.5,2. Baixo,#C0C276,10/09/2026,,,
Curral de Cima,10.1,13.08,0.5,2. Baixo,#C0C276,12/09/2026,,,
Casserengue,11.3,20.66,0.7,2. Baixo,#C0C276,12/09/2026,,,
Cruz do Espírito Santo,9.9,10.0,0.5,2. Baixo,#C0C276,12/09/2026,,,
Damião,13.6,12.23,1.1,2. Baixo,#C0C276,12/09/2026,,,
Dona Inês,10.7,3.18,0.6,2. Baixo,#C0C276,12/09/2026,,,
Esperança,11.4,21.03,0.7,2. Baixo,#C0C276,12/09/2026,,,
Fagundes,14.2,3.0,1.2,2. Baixo,#C0C276,11/09/2026,,,
Guarabira,9.6,2.55,0.5,2. Baixo,#C0C276,12/09/2026,,,
Gurinhém,12.2,9.86,0.8,2. Baixo,#C0C276,12/09/2026,,,
Jacaraú,9.0,15.17,0.4,2. Baixo,#C0C276,12/09/2026,,,
Gurjão,20.6,16.18,4.4,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Itabaiana,11.6,19.55,0.7,2. Baixo,#C0C276,12/09/2026,,,
Itapororoca,9.6,8.03,0.5,2. Baixo,#C0C276,11/09/2026,,,
Itatuba,14.9,9.51,1.4,2. Baixo,#C0C276,11/09/2026,,,
Livramento,19.6,25.17,3.7,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Juarez Távora,10.4,8.83,0.6,2. Baixo,#C0C276,12/09/2026,,,
Mataraca,8.0,1.94,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Maturéia,21.7,45.0,5.8,5. Muito Alto,#DE1010,11/09/2026,,,
Juazeirinho,18.5,25.81,3.0,4. Alto (Alerta),#DE5C0B,11/09/2026,,,
Lagoa de Dentro,10.8,12.77,0.6,2. Baixo,#C0C276,12/09/2026,,,
Mamanguape,9.9,9.77,0.5,2. Baixo,#C0C276,12/09/2026,,,
Marcação,8.9,7.34,0.4,2. Baixo,#C0C276,12/09/2026,,,
Pedras de Fogo,9.6,9.51,0.5,2. Baixo,#C0C276,12/09/2026,,,
Mulungu,11.4,10.1,0.7,2. Baixo,#C0C276,12/09/2026,,,
Santa Luzia,23.3,34.57,7.7,6. Critico,#82001F,12/09/2026,,,
Olivedos,14.3,13.24,1.2,2. Baixo,#C0C276,12/09/2026,,,
Pilar,12.7,7.24,0.9,2. Baixo,#C0C276,12/09/2026,,,
Parari,20.7,34.78,4.7,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Pilões,6.5,1.27,0.2,1. Nulo,#A1A1A1,11/09/2026,,,
Pirpirituba,10.2,5.07,0.5,2. Baixo,#C0C276,12/09/2026,,,
Picuí,16.1,40.1,1.9,2. Baixo,#C0C276,12/09/2026,,,
Salgado de São Félix,13.1,26.57,1.0,2. Baixo,#C0C276,12/09/2026,,,
Santa Rita,8.2,4.31,0.4,1. Nulo,#A1A1A1,12/09/2026,,,
Santo André,21.2,29.08,5.1,5. Muito Alto,#DE1010,12/09/2026,,,
São João do Cariri,18.8,7.51,3.1,4. Alto (Alerta),#DE5C0B,11/09/2026,,,
São José do Bonfim,23.0,38.0,7.3,5. Muito Alto,#DE1010,12/09/2026,,,
São José do Sabugi,22.7,35.6,6.9,5. Muito Alto,#DE1010,11/09/2026,,,
Sertãozinho,10.8,8.69,0.6,2. Baixo,#C0C276,12/09/2026,,,
São José dos Cordeiros,20.0,16.23,3.9,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
São Mamede,21.8,34.5,5.8,5. Muito Alto,#DE1010,12/09/2026,,,
São Miguel de Taipu,11.7,7.56,0.7,2. Baixo,#C0C276,12/09/2026,,,
Serra Branca,19.1,21.77,3.3,4. Alto (Alerta),#DE5C0B,10/09/2026,,,
Sossêgo,14.3,23.42,1.3,2. Baixo,#C0C276,12/09/2026,,,
Serraria,7.3,0.89,0.3,1. Nulo,#A1A1A1,12/09/2026,,,
Sobrado,12.0,9.92,0.8,2. Baixo,#C0C276,12/09/2026,,,
Soledade,18.8,32.32,3.2,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Sumé,21.6,20.94,5.4,5. Muito Alto,#DE1010,12/09/2026,,,
Tacima,11.3,13.27,0.7,2. Baixo,#C0C276,12/09/2026,,,
Taperoá,21.1,19.48,4.9,5. Muito Alto,#DE1010,12/09/2026,,,
Várzea,23.3,36.25,7.7,6. Critico,#82001F,12/09/2026,,,
Boa Ventura,26.8,45.0,14.9,6. Critico,#82001F,11/09/2026,,,
Pombal,22.5,38.0,6.7,5. Muito Alto,#DE1010,12/09/2026,,,
Juru,24.1,45.0,9.1,6. Critico,#82001F,12/09/2026,,,
Princesa Isabel,25.2,45.0,11.2,6. Critico,#82001F,12/09/2026,,,
Santana de Mangueira,25.1,45.0,11.0,6. Critico,#82001F,12/09/2026,,,
Diamante,24.8,42.2,10.3,6. Critico,#82001F,12/09/2026,,,
Pedra Branca,25.6,45.0,12.0,6. Critico,#82001F,12/09/2026,,,
Piancó,25.2,32.0,11.0,6. Critico,#82001F,12/09/2026,,,
Igaracy,24.2,36.25,9.2,6. Critico,#82001F,12/09/2026,,,
Curral Velho,26.9,45.0,15.1,6. Critico,#82001F,11/09/2026,,,
Bernardino Batista,22.3,34.78,6.4,5. Muito Alto,#DE1010,12/09/2026,,,
Conceição,23.0,38.0,7.3,5. Muito Alto,#DE1010,12/09/2026,,,
Manaíra,24.6,45.0,10.0,6. Critico,#82001F,12/09/2026,,,
Nazarezinho,23.3,38.0,7.8,6. Critico,#82001F,12/09/2026,,,
São José de Espinharas,22.5,45.0,6.7,5. Muito Alto,#DE1010,12/09/2026,,,
Brejo dos Santos,20.7,30.88,4.6,4. Alto (Alerta),#DE5C0B,12/09/2026,,,
Santa Cruz,22.5,45.0,6.7,5. Muito Alto,#DE1010,12/09/2026,,,
Poço Dantas,20.8,42.2,4.8,5. Muito Alto,#DE1010,12/09/2026,,,
Mato Grosso,23.7,38.0,8.4,6. Critico,#82001F,12/09/2026,,,
Santa Helena,23.3,45.0,7.8,6. Critico,#82001F,12/09/2026,,,
Triunfo,23.2,45.0,7.7,6. Critico,#82001F,12/09/2026,,,
